Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SBUX,SBUX,SBUX,SBUX,SBUX,SBUX
Date,,,,,,
2021-02-16,94.23822021484375,106.1500015258789,106.58999633789062,104.69999694824219,104.87999725341797,4928100
2021-02-17,93.11486053466797,104.44000244140625,105.45999908447266,104.1500015258789,105.11000061035156,5733800
2021-02-18,93.58738708496094,104.97000122070312,105.33999633789062,103.41000366210938,103.77999877929688,4098700
2021-02-19,92.16088104248047,103.37000274658203,105.27999877929688,103.22000122070312,104.75,4128900
2021-02-22,90.77005004882812,101.80999755859375,102.98999786376953,101.75,102.98999786376953,5211800
2021-02-23,90.37774658203125,101.37000274658203,103.33999633789062,99.93000030517578,103.33999633789062,8740300
2021-02-24,93.06134796142578,104.37999725341797,104.51000213623047,100.5999984741211,101.16000366210938,7542700
2021-02-25,92.2500228881836,103.47000122070312,105.7699966430664,103.11000061035156,104.0,7534000
2021-02-26,96.31556701660156,108.02999877929688,109.4800033569336,103.68000030517578,104.1500015258789,15122900
2021-03-01,95.28136444091797,106.87000274658203,110.47000122070312,106.54000091552734,108.5999984741211,7930300
2021-03-02,95.57556915283203,107.19999694824219,108.25,105.81999969482422,107.30999755859375,5016800
2021-03-03,94.70183563232422,106.22000122070312,107.95999908447266,106.12000274658203,106.94000244140625,5313400
2021-03-04,93.51606750488281,104.88999938964844,107.16999816894531,103.8499984741211,106.26000213623047,7211800
2021-03-05,93.79242706298828,105.19999694824219,106.05999755859375,102.75,106.05999755859375,5559900
2021-03-08,93.64085388183594,105.02999877929688,106.88999938964844,104.2300033569336,104.80000305175781,5119500
2021-03-09,94.9960708618164,106.55000305175781,107.97000122070312,105.83000183105469,106.27999877929688,5510900
2021-03-10,96.09266662597656,107.77999877929688,109.06999969482422,106.95999908447266,107.22000122070312,6077000
2021-03-11,95.68254852294922,107.31999969482422,108.56999969482422,107.26000213623047,108.41000366210938,4670700
2021-03-12,96.11943054199219,107.80999755859375,107.98999786376953,106.58000183105469,107.41999816894531,3356000
2021-03-15,97.09124755859375,108.9000015258789,108.94999694824219,107.05999755859375,107.88999938964844,7107300
2021-03-16,99.26664733886719,111.33999633789062,112.33999633789062,109.88999938964844,110.56999969482422,11376200
2021-03-17,98.4820556640625,110.45999908447266,111.45999908447266,108.93000030517578,111.30999755859375,10128400
2021-03-18,95.95002746582031,107.62000274658203,110.2699966430664,107.5,109.27999877929688,7813400
2021-03-19,94.80882263183594,106.33999633789062,108.8499984741211,105.83000183105469,108.3499984741211,21452000
2021-03-22,95.90545654296875,107.56999969482422,108.41999816894531,106.0,106.4000015258789,7605100
2021-03-23,94.72857666015625,106.25,107.94999694824219,105.66999816894531,107.73999786376953,5657800
2021-03-24,93.58738708496094,104.97000122070312,107.27999877929688,104.94000244140625,106.62999725341797,5731300
2021-03-25,95.70930480957031,107.3499984741211,107.69999694824219,104.05999755859375,105.01000213623047,8149000
2021-03-26,97.98278045654297,109.9000015258789,110.0,107.18000030517578,107.25,6167600
2021-03-29,97.2962875366211,109.12999725341797,110.25,106.58999633789062,109.01000213623047,5167100
2021-03-30,98.3126449584961,110.2699966430664,110.44999694824219,108.27999877929688,108.41999816894531,4552900
2021-03-31,97.42111206054688,109.2699966430664,111.62000274658203,109.19000244140625,110.33000183105469,6478400
2021-04-01,97.5191650390625,109.37999725341797,110.05999755859375,108.19999694824219,110.05999755859375,5793000
2021-04-05,98.9813232421875,111.0199966430664,111.3499984741211,109.87000274658203,109.91000366210938,6913100
2021-04-06,100.88037872314453,113.1500015258789,113.81999969482422,111.0999984741211,111.37999725341797,6745200
2021-04-07,100.91602325439453,113.19000244140625,113.76000213623047,112.6500015258789,112.91000366210938,5629600
2021-04-08,100.78230285644531,113.04000091552734,113.95999908447266,112.68000030517578,113.6500015258789,5011300
2021-04-09,100.9071273803711,113.18000030517578,113.2699966430664,111.97000122070312,112.91000366210938,4114300
2021-04-12,101.46879577636719,113.80999755859375,113.88999938964844,112.7699966430664,113.0199966430664,4707800
2021-04-13,102.85072326660156,115.36000061035156,115.5999984741211,113.68000030517578,113.77999877929688,4607400
2021-04-14,102.67240142822266,115.16000366210938,116.23999786376953,114.72000122070312,115.22000122070312,3994600
2021-04-15,104.00975036621094,116.66000366210938,116.88999938964844,114.77999877929688,115.0999984741211,5079100
2021-04-16,105.50758361816406,118.33999633789062,118.5,116.94000244140625,117.81999969482422,5777900
2021-04-19,104.84781646728516,117.5999984741211,118.9800033569336,117.04000091552734,118.16999816894531,4889700
2021-04-20,103.66204833984375,116.2699966430664,117.26000213623047,115.3499984741211,116.95999908447266,5662400
2021-04-21,104.08106994628906,116.73999786376953,117.26000213623047,115.86000061035156,116.08999633789062,4397400
2021-04-22,103.3499984741211,115.91999816894531,116.87999725341797,115.2300033569336,116.87000274658203,5744900
2021-04-23,104.8121337890625,117.55999755859375,117.9800033569336,115.83999633789062,116.0199966430664,4555800
2021-04-26,103.3499984741211,115.91999816894531,117.25,115.05999755859375,116.94999694824219,5924900
2021-04-27,103.5550537109375,116.1500015258789,116.38999938964844,115.2699966430664,115.66999816894531,7260900
2021-04-28,100.21170806884766,112.4000015258789,114.1500015258789,111.61000061035156,113.44000244140625,14793500
2021-04-29,102.19988250732422,114.62999725341797,115.1500015258789,112.76000213623047,113.20999908447266,8936600
2021-04-30,102.0750503540039,114.48999786376953,114.94999694824219,113.48999786376953,114.0,6478700
2021-05-03,103.17168426513672,115.72000122070312,116.73999786376953,115.12999725341797,115.18000030517578,5049800
2021-05-04,101.73625946044922,114.11000061035156,115.4000015258789,113.54000091552734,115.1500015258789,6265100
2021-05-05,101.1745834350586,113.4800033569336,114.87999725341797,113.16000366210938,114.20999908447266,4677700
2021-05-06,102.29795837402344,114.73999786376953,114.80999755859375,113.0999984741211,113.6500015258789,4113300
2021-05-07,101.94132995605469,114.33999633789062,115.83999633789062,114.23999786376953,115.11000061035156,4867500
2021-05-10,101.90567016601562,114.30000305175781,116.08999633789062,114.20999908447266,114.56999969482422,5759500
2021-05-11,101.23697662353516,113.55000305175781,113.69000244140625,112.16999816894531,113.31999969482422,7775400
2021-05-12,98.27416229248047,109.79000091552734,112.38999938964844,109.55999755859375,111.87000274658203,7965300
2021-05-13,98.90074157714844,110.48999786376953,111.18000030517578,109.16000366210938,110.16000366210938,7999400
2021-05-14,99.53628540039062,111.19999694824219,111.58999633789062,110.25,111.01000213623047,6836300
2021-05-17,99.33934783935547,110.9800033569336,111.2699966430664,109.83000183105469,111.22000122070312,4521200
2021-05-18,99.41991424560547,111.06999969482422,112.20999908447266,111.01000213623047,111.37000274658203,5177300
2021-05-19,98.16675567626953,109.66999816894531,109.94000244140625,108.87999725341797,109.5999984741211,5997400
2021-05-20,99.7242660522461,111.41000366210938,111.69000244140625,109.87000274658203,109.9800033569336,5345500
2021-05-21,99.28565216064453,110.91999816894531,112.22000122070312,110.56999969482422,111.62999725341797,5146500
